bin	CDS_total	CDS_hypothetical	X16S	X23S	X5S	unique_tRNA	checkm_marker_lineage	Completeness	Contamination	Strain_heterogeneity	Genome_size_bp	ambiguous_bases	scaffolds	contigs	N50_scaffolds_	N50_contigs_	Mean_scaffold_length_bp	Mean_contig_length_bp	Longest_scaffold_bp	Longest_contig_bp	GC	GC_std_scaffolds__1kbp	Coding_density	predicted_genes	gtdb_classification	fastani_ani	fastani_af	closest_placement_reference	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	msa_percent	red_value	gtdb_warning	silva_taxonomy	mags_workflow_name	mags_workflow_date	mags_workflow_mode	MAG_status	cmseq_covered_bases	cmseq_polymorphic_bases	percent_snp_rate	cMAG_status	kaiju_domain	kaiju_phylum	AMR_count	VIR_count	cov_il	cov_pb	cov_r9	cov_r104	r_abund_il	r_abund_pb	r_abund_r9	r_abund_r104	cluster	unalligned_bp	genome_frac	dup_ratio	Ns_per_100kb	MMs_per_100kb	Indels_per_100kb
ilmn_bin.0102	1376	668	0	0	0	19	c__Clostridia (UID1118)	84.95	1.61	50	1884925	0	73	73	52588	52588	25820	25820	164975	164975	31.6	1.47	88.96	1382	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__DTU072;g__JAAZJD01;s__JAAZJD01 sp012800525	99.5	0.89	GCA_012800525.1	99.5	0.89	d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__DTU072;g__JAAZJD01;s__	taxonomic classification defined by topology and ANI	86.6	N/A	N/A	NA	ilmn	2021-09-18	Illumina	MQ	1827134	1021	0.0558798643120866	N	Bacteria	 Firmicutes	0	0	23.521574	6.1703043	122.20402	49.927864	0.43516713	0.13656904	1.0240731	1.3789153	126_1	9017	81.208	1.003	0	13.79	1.76
ilmn_bin.0103	1806	736	0	0	3	19	c__Clostridia (UID1085)	93.08	0.21	0	1885401	0	64	64	44447	44447	29459	29459	134267	134267	41.2	1.2	88.26	1845	d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__DRI-13;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__DRI-13;f__;g__;s__	taxonomic classification fully defined by topology	93.81	0.6606964344647858	N/A	NA	ilmn	2021-09-18	Illumina	MQ	1868392	1394	0.0746096108311318	N	Bacteria	 Firmicutes	0	0	26.518013	31.873014	59.779266	16.89843	0.49060354	0.7054542	0.5009519	0.4667034	161_1	42246	84.529	1.002	0	5.05	0.54
pbccs-il_bin.0000	2008	833	3	2	3	19	p__Firmicutes (UID239)	90.1	18.81	93.55	2164870	0	29	29	483767	483767	74650	74650	848351	848351	47.5	4.96	88.97	1996	d__Bacteria;p__Firmicutes_E;c__DTU015;o__D8A-2;f__D2;g__UBA3907;s__	N/A	N/A	GCA_002391545.1	81.86	0.25	d__Bacteria;p__Firmicutes_E;c__DTU015;o__D8A-2;f__D2;g__;s__	taxonomic classification defined by topology and ANI	73.12	0.9265377575608132	Genome has more than 18.3% of markers with multiple hits	CU919470.1.1354 Bacteria;Firmicutes;D8A-2;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	Contaminated	1556807	20950	1.34570309614487	N	Bacteria	 Firmicutes	0	0	15.654483	21.151625	28.241402	6.9715595	0.3210472	0.385233	0.22964479	0.18634881	NA	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0001	630	311	1	1	1	17	k__Bacteria (UID1452)	53.47	0	0	541335	14	6	6	120848	120847	90222	90220	164849	164849	38.5	1.25	92.01	612	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__CSSED10-335;g__;s__	N/A	N/A	GCA_002069755.1	80.66	0.05	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__CSSED10-335;g__;s__	taxonomic classification defined by topology and ANI	56.78	0.8397170784259532	N/A	FJ792311.1.1352 Bacteria;Patescibacteria;Parcubacteria;Candidatus Yanofskybacteria;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	7680	356	4.63541666666667	N	Bacteria	 Firmicutes	0	0	2.5333722	4.065403	6.049379	1.260257	0.051955216	0.07404289	0.04919049	0.033686493	17_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0002	3257	1404	5	4	4	21	p__Firmicutes (UID241)	96.61	5.55	21.43	3482257	16	6	6	1826606	1826601	580376	580373	1826606	1826601	49.7	0.98	87.72	3181	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU087;f__DTU087;g__JAAYSL01;s__	N/A	N/A	GCA_012518315.1	90.45	0.93	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU087;f__DTU087;g__;s__	taxonomic classification defined by topology and ANI	91.22	0.9663774304729372	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	HQ156138.1.1370 Bacteria;Firmicutes;Limnochordia;Limnochordales;uncultured;uncultured prokaryote	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	806651	28145	3.48911735062623	N	Bacteria	 Firmicutes	0	0	6.6541433	8.253349	14.417009	4.0532618	0.13646533	0.15031765	0.11723183	0.10834311	129_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0003	3131	1715	2	1	1	19	p__Firmicutes (UID241)	88.14	17.85	52.63	3098234	44	38	38	117161	117158	81532	81531	204867	204858	43.5	0.48	87.09	3042	d__Bacteria;p__Firmicutes_G;c__UBA5435;o__UBA5435;f__;g__;s__	N/A	N/A	GCA_002426645.1	76.62	0.01	d__Bacteria;p__Firmicutes_G;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	77.61	0.5589512510537126	Genome has more than 15.8% of markers with multiple hits	KP150725.1.1499 Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;uncultured;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	Contaminated	507819	29876	5.88319854121252	N	Bacteria	 Firmicutes	0	0	5.2741346	6.7227936	14.314926	4.2085814	0.10816366	0.122441754	0.11640174	0.11249478	NA	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0004	933	480	1	1	1	9	c__Clostridia (UID1085)	31.76	1.45	0	830589	72	24	24	44355	44336	34607	34604	79843	79843	50.7	4.16	86.73	952	d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__DRI-13;f__DRI-13;g__;s__	N/A	N/A	GCA_002841595.1	76.12	0.03	d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__DRI-13;f__DRI-13;g__;s__	taxonomic classification defined by topology and ANI	39.69	0.8355283626337703	N/A	CU922893.1.1355 Bacteria;Firmicutes;uncultured;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	LQ	42832	485	1.13233096750093	N	Bacteria	 Firmicutes	0	0	11.49244	13.1734495	23.239264	5.604852	0.23569067	0.2399271	0.18896994	0.14981692	NA	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0005	1678	855	1	1	1	21	k__Bacteria (UID1452)	53.18	2	0	1752179	25	21	21	121908	121908	83437	83435	321054	321051	52.1	1.74	88.29	1673	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__T78;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__T78;s__	ANI	58.25	0.9716739081604058	N/A	FPLM01006417.10.1491 Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;metagenome	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	32831	396	1.20617708872712	N	Bacteria	 Chloroflexi	0	0	3.2259374	3.770973	6.4299335	2.0762887	0.06615856	0.06868046	0.052284967	0.055498905	181_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0006	4553	2847	2	1	1	21	k__Bacteria (UID2565)	96.59	2.27	50	5377316	0	45	45	530540	530540	119495	119495	869296	869296	59	2.38	88.16	4595	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalophaeraceae;g__B28-G16;s__	N/A	N/A	GCA_003644175.1	76.22	0.12	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalophaeraceae;g__;s__	taxonomic classification defined by topology and ANI	86.2	0.894401339599137	N/A	JN516680.1.1350 Bacteria;Planctomycetota;Phycisphaerae;MSBL9;SG8-4;uncultured organism	pbccs-il	2022-02-23	PacBio HiFi + Illumina	HQ	4165641	8771	0.210555830423217	N	Bacteria	 Planctomycetes	0	0	14.444157	13.42349	30.132202	10.761296	0.29622543	0.24448106	0.24501985	0.28764793	20_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0007	1606	729	1	1	1	18	o__Clostridiales (UID1120)	71.55	0	0	1673460	46	18	18	104060	104060	92970	92967	178290	178279	41.1	1	87.18	1602	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__DSM-8532;g__DTU059;s__DTU059 sp012520855	98.8	0.7	GCA_012520855.1	98.8	0.7	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__DSM-8532;g__DTU059;s__	taxonomic classification defined by topology and ANI	67.46	N/A	N/A	FPLM01005322.1.1289 Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;HN-HF0106;metagenome	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	30374	876	2.8840455652861	N	Bacteria	 Firmicutes	0	0	2.8589103	4.323424	6.9990134	1.745602	0.058631457	0.07874221	0.05691244	0.0466597	154_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0008	1707	705	2	2	2	18	k__Bacteria (UID2495)	87.43	1.14	0	1742911	3	16	16	152323	152323	108931	108931	412624	412624	47.1	1.23	92.22	1694	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__DUOJ01;s__DUOJ01 sp012838895	98.95	0.91	GCA_012838895.1	98.95	0.91	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__;s__	taxonomic classification defined by topology and ANI	80.86	N/A	N/A	HQ154946.1.1407 Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sphaerochaeta;uncultured prokaryote	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	430630	6114	1.41978032185403	N	Bacteria	 Spirochaetes	0	0	6.917642	5.5690055	20.689884	6.738574	0.14186925	0.10142789	0.16823968	0.18012114	86_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0009	2265	1261	2	2	2	20	k__Bacteria (UID2569)	97.85	2.15	40	2544964	1	8	8	589063	589062	318120	318120	846674	846674	33.4	0.59	90.37	2206	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__WCHB1-69;g__UBA5266;s__UBA5266 sp012519525	99.76	0.99	GCA_012519525.1	99.76	0.99	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__WCHB1-69;g__UBA5266;s__	taxonomic classification defined by topology and ANI	96.94	N/A	N/A	CU917673.1.1356 Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;GZKB124;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	HQ	568881	2208	0.388130382276785	N	Bacteria	 Bacteroidetes	0	0	6.785601	6.7331247	24.552528	7.378463	0.1391613	0.12262991	0.19964874	0.19722526	174_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0010	2431	1027	2	2	2	20	p__Firmicutes (UID239)	86.27	0.49	0	2531670	27	12	12	261757	261757	210972	210970	487938	487926	49.4	0.56	87.57	2374	d__Bacteria;p__Firmicutes_G;c__SHA-98;o__UBA4971;f__UBA4971;g__UBA4971;s__	N/A	N/A	GCA_002424305.1	79.39	0.5	d__Bacteria;p__Firmicutes_G;c__SHA-98;o__UBA4971;f__UBA4971;g__UBA4971;s__	taxonomic classification defined by topology and ANI	88.94	0.9487406605509449	N/A	AB818578.1.1495 Bacteria;Firmicutes;Incertae Sedis;DTU014;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	1172580	26262	2.23967661055109	N	Bacteria	 Firmicutes	0	0	9.199714	9.151625	19.633945	5.4999094	0.1886707	0.16667788	0.15965332	0.1470118	113_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0011	3111	1376	2	2	2	20	k__Bacteria (UID209)	100	0	0	3294055	45	31	31	339599	339595	106259	106258	571883	571882	38.5	1.14	82.35	2996	d__Bacteria;p__Caldatribacteriota;c__Caldatribacteriia;o__Caldatribacteriales;f__UBA8910;g__UBA8910;s__UBA8910 sp002069605	99.26	0.96	GCA_002069605.1	99.26	0.96	d__Bacteria;p__Caldatribacteriota;c__Caldatribacteriia;o__Caldatribacteriales;f__UBA8910;g__UBA8910;s__	taxonomic classification defined by topology and ANI	90.85	N/A	N/A	FPLM01004282.16.1568 Bacteria;Caldatribacteriota;Caldatribacteriia;Caldatribacteriales;Caldatribacteriaceae;Candidatus Caldatribacterium;metagenome	pbccs-il	2022-02-23	PacBio HiFi + Illumina	HQ	708103	10129	1.43044161654449	N	Bacteria	 Proteobacteria	1	0	6.258658	8.537562	13.532378	4.161148	0.12835458	0.155494	0.11003847	0.1112269	39_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0012	3471	1965	1	1	1	19	p__Bacteroidetes (UID2605)	94.05	1.59	16.67	4208289	144	31	31	230423	230423	135751	135746	505284	505268	34.8	1.59	88.5	3499	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2748055;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	88.9	0.8297641187814814	N/A	GU389675.1.1243 Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	HQ	16575	146	0.880844645550528	N	Bacteria	 Bacteroidetes	0	0	2.1611388	4.1800246	4.9137654	1.0091652	0.044321332	0.07613049	0.039956257	0.026974842	30_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0013	2127	906	2	2	2	21	o__Clostridiales (UID1120)	97.16	0	0	2187487	0	5	5	589240	589240	437497	437497	877546	877546	46.6	0.54	85.68	2075	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1426;s__UBA1426 sp002385825	95.03	0.83	GCA_002385825.1	95.03	0.83	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1426;s__	taxonomic classification defined by topology and ANI	96.15	N/A	N/A	CZCB01004402.3809.5311 Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;uncultured;anaerobic digester metagenome	pbccs-il	2022-02-23	PacBio HiFi + Illumina	HQ	537702	3157	0.587128186244425	N	Bacteria	 Firmicutes	0	0	7.01066	10.174746	12.232863	2.7405002	0.1437769	0.1853119	0.09947146	0.073253185	125_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0014	2463	1505	1	1	1	20	p__Euryarchaeota (UID54)	96.35	1.96	33.33	2441116	2	24	24	208951	208949	101713	101713	326545	326545	58.5	4.7	85.73	2458	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__Methanoculleus sp012797575	99.17	0.98	GCA_012797575.1	99.17	0.98	d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoculleaceae;g__Methanoculleus;s__	taxonomic classification defined by topology and ANI	95.75	N/A	N/A	AB494253.1.1436 Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;uncultured archaeon	pbccs-il	2022-02-23	PacBio HiFi + Illumina	HQ	2383019	49671	2.08437280609177	N	Archaea	 Euryarchaeota	0	0	54.006382	8.080688	162.32884	83.22618	1.1075804	0.147173	1.3199761	2.224624	41_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0015	890	562	0	0	0	8	k__Bacteria (UID2565)	18.73	0	0	898079	7	19	19	60125	60125	47267	47266	144850	144847	65.2	0.96	83.93	921	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1161;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__;f__;g__;s__	taxonomic novelty determined using RED	25.71	0.7415122365706254	N/A	NA	pbccs-il	2022-02-23	PacBio HiFi + Illumina	LQ	21269	774	3.63909915839955	N	Bacteria	 Planctomycetes	0	0	1.8145614	3.2999892	4.2446337	1.3988677	0.037213612	0.060102466	0.034515217	0.037391536	NA	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0016	1692	780	4	4	3	16	o__Clostridiales (UID1120)	62.15	2.45	60	1732917	55	17	17	123486	123483	101936	101933	265595	265592	47.3	1.06	82.53	1679	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__DTU013;s__DTU013 sp002385815	98.98	0.76	GCA_002385815.1	98.98	0.76	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__DTU013;s__	taxonomic classification defined by topology and ANI	56.88	N/A	N/A	DQ887967.1.1612 Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Ruminiclostridium;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	41810	1976	4.72614207127481	N	Bacteria	 Firmicutes	0	0	2.634714	3.8048027	5.877388	1.4217967	0.054033566	0.0692966	0.04779195	0.038004424	146_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0017	674	316	1	2	1	20	k__Bacteria (UID203)	77.87	0	0	595055	0	4	4	564040	564040	148763	148763	564040	564040	32.7	1.16	92.55	646	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA5633;g__JAAZMU01;s__JAAZMU01 sp012798645	99.16	0.98	GCA_012798645.1	99.16	0.98	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__Paceibacterales;f__UBA5633;g__;s__	taxonomic classification defined by topology and ANI	65.14	N/A	N/A	CR933068.6.1306 Bacteria;Patescibacteria;Parcubacteria;32-520;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	560669	6460	1.15219496708397	N	Bacteria	 Proteobacteria	0	0	23.750345	37.712276	75.27172	22.780779	0.48707977	0.68685097	0.6120716	0.608927	62_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0018	2846	1648	3	3	3	20	k__Bacteria (UID2569)	95.11	6.18	94.44	3530859	7	48	48	101102	101102	73559	73559	427610	427610	39.4	2.98	90.37	2816	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__Paludibacter sp012519425	99.25	0.96	GCA_012519425.1	99.25	0.96	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__	taxonomic classification defined by topology and ANI	90.49	N/A	N/A	AM982594.1.1489 Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;uncultured;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	3003980	29303	0.975472539763913	N	Bacteria	 Bacteroidetes	1	0	22.230734	14.513749	74.13857	23.836845	0.4559151	0.26433787	0.6028574	0.63715553	65_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0019	2995	1414	2	1	1	18	p__Firmicutes (UID241)	68.16	34.14	10.39	2838163	106	75	75	40080	40080	37842	37840	141103	141103	34.2	2.04	83.97	3025	d__Bacteria;p__Caldatribacteriota;c__JS1;o__SB-45;f__UBA6794;g__;s__	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Caldatribacteriota;c__JS1;o__SB-45;f__;g__;s__	taxonomic novelty determined using RED	43.6	0.7222150770319391	Genome has more than 28.3% of markers with multiple hits	EU219933.1.1348 Bacteria;Firmicutes;Clostridia;Gracilibacteraceae;Lutispora;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	Contaminated	30920	1457	4.71216041397154	N	Bacteria	 Firmicutes	0	0	1.7197756	3.877963	4.231062	1.1112033	0.03526971	0.07062906	0.03440486	0.029702306	NA	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0020	1967	950	3	3	3	20	p__Firmicutes (UID239)	68.14	0	0	2071081	44	33	33	77586	77586	62760	62758	211292	211282	60.7	0.65	87.83	2007	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU080;f__DTU080;g__;s__	N/A	N/A	GCA_001513395.1	77.04	0.03	d__Bacteria;p__Firmicutes_G;c__Limnochordia;o__DTU080;f__DTU080;g__;s__	taxonomic classification defined by topology and ANI	75.06	0.7780337339009268	N/A	HQ183804.1.1473 Bacteria;Firmicutes;Limnochordia;Limnochordales;Limnochordaceae;uncultured Clostridia bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	130619	3714	2.84338419372373	N	Bacteria	 Firmicutes	0	0	4.522688	4.113562	9.865489	3.2077482	0.092752755	0.07492001	0.08022117	0.08574265	138_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0021	1613	724	2	2	2	20	k__Bacteria (UID2328)	98.67	1.33	0	1755696	0	10	10	420291	420291	175569	175569	514379	514379	47	3.96	90.27	1541	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__UBA3946;s__UBA3946 sp002385755	99.61	0.97	GCA_002385755.1	99.61	0.97	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__UBA3946;s__	taxonomic classification defined by topology and ANI	91.07	N/A	N/A	JF417903.1.1492 Bacteria;Firmicutes;Bacilli;Izemoplasmatales;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	HQ	1697094	13387	0.78881900472219	N	Bacteria	 Firmicutes	0	0	63.00998	32.50706	183.92459	69.19954	1.292229	0.59204876	1.4955819	1.8496939	55_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0022	1706	675	2	2	2	20	p__Firmicutes (UID239)	88.24	0	0	1866219	3	9	9	499593	499590	207357	207357	552232	552232	45.3	0.77	88.65	1670	d__Bacteria;p__Firmicutes_E;c__DTU015;o__D8A-2;f__D2;g__UBA3907;s__UBA3907 sp002391545	99.53	0.88	GCA_002391545.1	99.53	0.88	d__Bacteria;p__Firmicutes_E;c__DTU015;o__D8A-2;f__D2;g__;s__	taxonomic classification defined by topology and ANI	91.01	N/A	N/A	EU878332.1.1524 Bacteria;Firmicutes;D8A-2;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	659137	3740	0.567408596391949	N	Bacteria	 Firmicutes	0	0	8.226895	11.079604	15.472896	3.8850253	0.16871983	0.20179205	0.12581778	0.103846185	102_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0023	1706	872	1	1	1	17	k__Bacteria (UID2328)	89.33	0	0	1673604	38	19	19	219491	219491	88084	88082	361265	361260	33.1	1.8	88.86	1667	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-313;g__DUOG01;s__DUOG01 sp012838945	99.08	0.78	GCA_012838945.1	99.08	0.78	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-313;g__;s__	taxonomic classification defined by topology and ANI	81.74	N/A	N/A	EU219945.1.1366 Bacteria;Firmicutes;Bacilli;Izemoplasmatales;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	320230	3047	0.951503606782625	N	Bacteria	 Firmicutes	0	0	6.426233	4.8422623	26.262394	9.137314	0.13179126	0.08819178	0.2135525	0.2442391	61_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0024	1822	669	3	4	2	21	k__Bacteria (UID209)	98.31	0	0	1906455	0	3	3	1887093	1887093	635485	635485	1887093	1887093	60.2	1.24	90.49	1760	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Thermovirgaceae;g__58-81;s__	N/A	N/A	GCA_002070395.1	92.56	0.88	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Thermovirgaceae;g__58-81;s__	taxonomic classification defined by topology and ANI	92.97	0.988146680631667	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	FPLM01000554.1.1353 Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Thermovirga;metagenome	pbccs-il	2022-02-23	PacBio HiFi + Illumina	HQ	1789881	4574	0.2555477151833	N	Bacteria	 Synergistetes	0	0	21.588577	25.19031	40.005352	12.525207	0.44274554	0.4587893	0.3253033	0.33479702	54_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0025	2458	1075	2	3	2	20	k__Bacteria (UID209)	98.31	1.69	0	2544227	87	26	26	416212	416191	97854	97851	909277	909245	35.1	8.96	84.72	2413	d__Bacteria;p__Caldatribacteriota;c__JS1;o__SB-45;f__UBA6794;g__UBA6794;s__	N/A	N/A	GCA_012520575.1	76.69	0.11	d__Bacteria;p__Caldatribacteriota;c__JS1;o__SB-45;f__UBA6794;g__UBA6794;s__	taxonomic classification defined by topology and ANI	81.76	0.8665658468520926	N/A	EU358731.1.1513 Bacteria;Caldatribacteriota;JS1;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	HQ	43929	862	1.96225727879078	N	Bacteria	 Proteobacteria	0	0	2.7239833	5.239959	6.533594	1.685011	0.055864327	0.095434986	0.053127885	0.04504011	94_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0026	1771	874	2	1	1	12	o__Clostridiales (UID1212)	64.18	0	0	1783851	38	23	23	94657	94657	77558	77557	270226	270214	38.8	1.12	87	1773	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Herbinix;s__Herbinix sp012523775	99.18	0.8	GCA_012523775.1	99.18	0.8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Herbinix;s__	taxonomic classification defined by topology and ANI	66.37	N/A	N/A	AB486227.1.1440 Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Mobilitalea;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	20774	736	3.54289015115048	N	Bacteria	 Firmicutes	0	0	2.2733743	3.5527575	6.009111	1.5290263	0.0466231	0.06470612	0.04886305	0.040870655	150_1	NA	NA	NA	NA	NA	NA
pbccs-il_bin.0027	719	219	1	1	1	13	k__Bacteria (UID209)	55.93	0	0	663736	31	8	8	90328	90328	82967	82963	154925	154925	38.7	2.46	89.18	715	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__JAAYFL01;s__JAAYFL01 sp012728235	99.42	0.88	GCA_012728235.1	99.42	0.88	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__JAAYFL01;s__	taxonomic classification defined by topology and ANI	53.7	N/A	N/A	EU358737.1.1491 Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;uncultured;uncultured bacterium	pbccs-il	2022-02-23	PacBio HiFi + Illumina	MQ	1158	17	1.46804835924007	N	Bacteria	 Synergistetes	0	0	1.8790209	3.4601803	3.8941507	0.80513513	0.03853557	0.06302001	0.031665266	0.02152115	10_1	NA	NA	NA	NA	NA	NA
